Name,mean,date_date
HansHerkert,17.951097012952683,2022-10-02
YoloBasin,9.823148148148148,2022-10-02
HPond,21.79535864978903,2022-10-02
Lucky5,8.600680015111447,2022-10-02
76,24.88592964824121,2022-10-02
70,36.20449438202248,2022-10-02
71,3.065073716319268,2022-10-02
72,27.78265703168427,2022-10-02
64,32.82753824756606,2022-10-02
63,32.80966587112172,2022-10-02
Pond5,32.901041666666664,2022-10-02
Pond6,31.65282583621684,2022-10-02
Pond7,35.03500761035008,2022-10-02
Pond8,36.18918918918919,2022-10-02
Pond9,13.904017857142858,2022-10-02
Pond10,23.95697796432319,2022-10-02
Newstrom,15.998062015503876,2022-10-02
C300,3.127938764352105,2022-10-02
Souza1-4,5.710950080515298,2022-10-02
Souza106,17.928947368421053,2022-10-02
Dingville1,2.234465086483024,2022-10-02
Dingville3,5.220183486238532,2022-10-02
Dingville4,12.410604192355118,2022-10-02
ShadyOaks(MichaelRue),14.87617554858934,2022-10-02
NorthCreekHouse(R&F Ranch),23.337524818001324,2022-10-02
RioOsoRanch(RioOso),17.66131025957973,2022-10-02
Bluebird(R&F RealEstate),15.37318255250404,2022-10-02
Morrison(MichaelRue),22.290796160361374,2022-10-02
Knaggs,15.931864604610446,2022-10-02
TuleBasin(Chesapeak),15.73566610455312,2022-10-02
TuleBasin,20.759326113116728,2022-10-02
CapOil,17.62716207559257,2022-10-02
TidesEnd,22.341950113378683,2022-10-02
Field 29C,20.319344933469807,2022-10-02
Field 29B,21.83065953654189,2022-10-02
Field 29A,23.68166666666667,2022-10-02
Field 25E,16.914485165794066,2022-10-02
Field 25D,17.547899159663867,2022-10-02
Field 25C,18.924071082390952,2022-10-02
Field 26EE,27.818574514038875,2022-10-02
Field 26CW,26.401247401247403,2022-10-02
Field 26D - 50% ONLY,29.870212765957447,2022-10-02
Field 18,25.63136456211813,2022-10-02
Field 20A,17.685233841303205,2022-10-02
Field 20B,20.927991337303737,2022-10-02
Field 21,25.689724110355854,2022-10-02
Field and Tule,26.568842021488265,2022-10-02
055D,28.5503746877602,2022-10-02
055E,30.767234387672342,2022-10-02
056A,15.162273476112029,2022-10-02
056B,50.813899613899615,2022-10-02
056F,25.504748982360923,2022-10-02
056E,31.130522088353413,2022-10-02
056G,28.42584269662921,2022-10-02
056H,34.59476744186046,2022-10-02
056I,17.248834498834498,2022-10-02
056J,20.79463776383343,2022-10-02
056K,18.229557843731072,2022-10-02
056L,28.21826809015421,2022-10-02
056M,30.463687150837988,2022-10-02
056N,31.766784452296815,2022-10-02
056P,29.13701923076923,2022-10-02
056Q,25.161807580174926,2022-10-02
061,29.610966057441253,2022-10-02
068B,24.829129886506937,2022-10-02
069A3,15.936758893280633,2022-10-02
069B,23.646710136336694,2022-10-02
069C,27.97195767195767,2022-10-02
072A,22.10072895957588,2022-10-02
072B,23.01139240506329,2022-10-02
076A1,31.43128390596745,2022-10-02
076A1,31.43128390596745,2022-10-02
076B,32.183381088825215,2022-10-02
076CW,32.77235772357724,2022-10-02
078A,30.47831474597274,2022-10-02
078B,32.06133333333333,2022-10-02
078C,29.2275,2022-10-02
088,20.372584269662923,2022-10-02
089B,19.22994350282486,2022-10-02
089A,NA,2022-10-02
090A,28.88951310861423,2022-10-02
091A,25.7319587628866,2022-10-02
091B,4.501287001287001,2022-10-02
093A,9.95118549511855,2022-10-02
093B,14.563636363636364,2022-10-02
093C,19.190669371196755,2022-10-02
093D,17.151315789473685,2022-10-02
093E,17.3322454308094,2022-10-02
094B,15.623134328358208,2022-10-02
096AW2,23.337981952420016,2022-10-02
096AW1,23.519933554817275,2022-10-02
100A,23.46708794102159,2022-10-02
100B,28.906130268199234,2022-10-02
100C,23.925081433224754,2022-10-02
100DE,21.1980198019802,2022-10-02
100G,23.27840327533265,2022-10-02
100M1,22.374898785425103,2022-10-02
100N,27.312844036697246,2022-10-02
102D,21.768719806763286,2022-10-02
102G,19.62181818181818,2022-10-02
102J,19.56140350877193,2022-10-02
106H6,12.194444444444445,2022-10-02
106H3,15.434256055363322,2022-10-02
106H4,5.917948717948718,2022-10-02
106H2,16.28222523744912,2022-10-02
106H2,3.213888888888889,2022-10-02
110F,24.24306220095694,2022-10-02
110G,19.150273224043715,2022-10-02
110J,25.48576675849403,2022-10-02
110K,26.96034115138593,2022-10-02
110L,27.20777777777778,2022-10-02
111A,27.283261802575108,2022-10-02
111B,27.229580573951434,2022-10-02
111C,28.189823874755383,2022-10-02
111D,31.47349177330896,2022-10-02
111E,26.70349140177176,2022-10-02
111F,24.56721022476862,2022-10-02
111G,24.89986345015931,2022-10-02
111H,26.43945163747144,2022-10-02
111J,30.95393474088292,2022-10-02
111K,31.904761904761905,2022-10-02
116A,27.073954983922828,2022-10-02
116D,22.713389121338917,2022-10-02
131D,21.12335958005249,2022-10-02
131F,16.256476683937823,2022-10-02
192EN,24.541143654114364,2022-10-02
192ES,30.49083842309828,2022-10-02
203-42,32.197284345047926,2022-10-02
203-41,31.898718730933496,2022-10-02
205C,34.42649572649572,2022-10-02
205E,33.69327467001886,2022-10-02
205W,22.2317562149158,2022-10-02
206SW,13.81303602058319,2022-10-02
207E,27.21043771043771,2022-10-02
207W,31.703703703703702,2022-10-02
208E,32.84632352941176,2022-10-02
208W,27.88222222222222,2022-10-02
209E,31.57604895104895,2022-10-02
209W,29.7027027027027,2022-10-02
210E,33.63937282229965,2022-10-02
210W,25.94182389937107,2022-10-02
211E,33.31026528258362,2022-10-02
211C,32.30636604774536,2022-10-02
211SE,27.28076923076923,2022-10-02
211SWE,33.83805668016194,2022-10-02
211SWW,31.88744588744589,2022-10-02
211W,31.955675675675675,2022-10-02
212E,31.95654506437768,2022-10-02
212W,29.324324324324323,2022-10-02
213E,33.588747488278635,2022-10-02
213W,27.25084288604181,2022-10-02
214E,28.391255605381165,2022-10-02
214W,29.052693208430917,2022-10-02
215E,29.48419721871049,2022-10-02
215W,30.20812182741117,2022-10-02
216E,28.91514770584538,2022-10-02
216W,26.83240911891559,2022-10-02
217E,28.91467391304348,2022-10-02
217W,27.821470937129305,2022-10-02
218E,26.669496321448783,2022-10-02
218W,32.23887587822014,2022-10-02
219E,26.744355909694555,2022-10-02
219W,31.240841248303933,2022-10-02
220E,29.235649546827798,2022-10-02
220W,29.988727858293075,2022-10-02
221E,32.06187624750499,2022-10-02
221S,31.311914323962515,2022-10-02
221W,34.020757020757024,2022-10-02
222E,28.88568194680249,2022-10-02
222W,30.92372881355932,2022-10-02
Barale,25.6875,2022-10-02
BorderTule,25.58291152055072,2022-10-02
8-4,9.574370709382151,2022-10-02
21-1,22.42625982431808,2022-10-02
21-2,28.318083961248654,2022-10-02
5-3,12.823104693140792,2022-10-02
5-2,15.42178594046865,2022-10-02
5-1,17.86138014527845,2022-10-02
32-3,16.99363680861478,2022-10-02
32-2,17.744215134459036,2022-10-02
32-1,13.154015401540152,2022-10-02
21-3,32.62165308498254,2022-10-02
21-4,24.21152030217186,2022-10-02
16-2,22.57281553398058,2022-10-02
9-1,31.10208596713021,2022-10-02
22-1,27.074498567335244,2022-10-02
31-1,9.101629169899146,2022-10-02
31-2,7.886426592797784,2022-10-02
27-2,21.63672391017173,2022-10-02
18-5,29.74298056155508,2022-10-02
24-1,15.103571428571428,2022-10-02
17-2,17.187225743539738,2022-10-02
Staten Island Pilot,19.913532376890267,2022-10-02
D1A_019,23.127659574468087,2022-10-02
D1A_032,21.11746804625685,2022-10-02
D1A_050,31.626780626780626,2022-10-02
D3__017,28.490590525632705,2022-10-02
D3__018,28.90232185748599,2022-10-02
D3__025,17.242464835900872,2022-10-02
D3__074,14.416835016835018,2022-10-02
D3__080,14.224422442244224,2022-10-02
D3__085,14.104259376986647,2022-10-02
D4__010,15.701634159198736,2022-10-02
D4__038,16.55972906403941,2022-10-02
