Field #,variable,values
5-1,actual_flood,11/23/23
5-1,actual_full,12/08/23
5-1,actual_drain,01/02/24
5-2,actual_flood,11/20/23
5-2,actual_full,12/03/23
5-2,actual_drain,12/27/24
5-3,actual_flood,11/01/23
5-3,actual_full,11/10/23
5-3,actual_drain,12/01/23
8-4,actual_flood,11/01/23
8-4,actual_full,11/08/23
8-4,actual_drain,12/02/23
32-1,actual_flood,11/28/23
32-1,actual_full,12/04/23
32-1,actual_drain,12/27/24
32-2,actual_flood,11/02/23
32-2,actual_full,11/13/23
32-2,actual_drain,12/05/23
32-3,actual_flood,11/07/23
32-3,actual_full,11/20/23
32-3,actual_drain,12/12/23
33-2,actual_flood,11/15/23
33-2,actual_full,11/20/23
33-2,actual_drain,12/12/23
5-1,actual_flood,01/05/24
5-1,actual_full,01/09/24
5-1,actual_drain,01/31/24
5-2,actual_flood,01/01/24
5-2,actual_full,01/05/24
5-2,actual_drain,01/29/24
5-3,actual_flood,12/05/23
5-3,actual_full,12/08/23
5-3,actual_drain,01/09/24
8-4,actual_flood,12/11/23
8-4,actual_full,12/13/23
8-4,actual_drain,01/09/24
32-1,actual_flood,01/01/24
32-1,actual_full,01/04/24
32-1,actual_drain,01/27/24
32-2,actual_flood,12/12/23
32-2,actual_full,12/19/23
32-2,actual_drain,01/10/24
32-3,actual_flood,12/19/23
32-3,actual_full,12/23/24
32-3,actual_drain,01/15/24
33-2,actual_flood,12/14/23
33-2,actual_full,12/16/23
33-2,actual_drain,01/16/24
3-1,actual_flood,11/15/23
3-1,actual_full,11/30/23
3-1,actual_drain,01/05/24
3-2,actual_flood,11/30/23
3-2,actual_full,12/18/23
3-2,actual_drain,01/05/24
9-2,actual_flood,11/27/23
9-2,actual_full,12/11/23
9-2,actual_drain,NA
15-3,actual_flood,10/02/23
15-3,actual_full,10/09/23
15-3,actual_drain,01/31/24
16-2,actual_flood,12/07/23
16-2,actual_full,12/12/23
16-2,actual_drain,01/18/24
16-3,actual_flood,10/02/23
16-3,actual_full,10/08/23
16-3,actual_drain,NA
22-1,actual_flood,10/02/23
22-1,actual_full,10/10/23
22-1,actual_drain,NA
22-2,actual_flood,11/22/23
22-2,actual_full,12/14/23
22-2,actual_drain,01/29/24
23-1,actual_flood,10/07/23
23-1,actual_full,11/21/23
23-1,actual_drain,01/31/24
